ID,pLDDT
0000000023,51.62
0000000107,53.50
0000000058,61.71
0000000089,82.69
0000000100,53.47
0000000024,55.66
0000000056,28.36
0000000087,37.34
0000000051,70.81
0000000080,43.02
0000000109,42.06
0000000018,40.90
0000000140,36.34
0000000064,47.70
0000000063,42.56
0000000147,37.70
0000000135,87.13
0000000011,42.84
0000000149,44.65
0000000016,37.13
0000000132,58.41
0000000007,37.83
0000000123,56.75
0000000124,51.42
0000000000,45.50
0000000072,34.03
0000000009,34.66
0000000075,29.85
0000000118,72.71
0000000091,48.11
0000000040,44.93
0000000096,32.20
0000000047,33.87
0000000111,44.87
0000000098,33.73
0000000049,34.03
0000000035,41.10
0000000032,45.15
0000000116,46.45
0000000017,67.68
0000000133,60.46
0000000134,44.66
0000000010,83.11
0000000148,39.07
0000000062,62.41
0000000146,54.68
0000000019,56.48
0000000141,48.95
0000000065,43.01
0000000050,45.77
0000000081,31.94
0000000108,47.68
0000000057,39.91
0000000086,38.78
0000000059,35.61
0000000088,48.98
0000000101,62.61
0000000025,41.65
0000000022,44.56
0000000106,31.09
0000000033,32.44
0000000117,73.65
0000000110,66.08
0000000099,38.06
0000000048,82.89
0000000034,49.14
0000000097,31.19
0000000046,77.03
0000000119,43.79
0000000090,45.93
0000000041,44.71
0000000008,49.25
0000000074,45.13
0000000073,83.47
0000000125,57.48
0000000001,38.98
0000000006,60.44
0000000122,43.44
0000000113,33.96
0000000037,59.92
0000000030,79.87
0000000114,58.62
0000000093,34.75
0000000042,55.54
0000000094,30.91
0000000045,48.10
0000000039,57.88
0000000128,70.52
0000000070,34.13
0000000077,61.44
0000000005,50.62
0000000121,41.87
0000000079,45.25
0000000126,38.15
0000000002,34.54
0000000137,40.23
0000000013,35.57
0000000014,70.72
0000000068,38.25
0000000130,54.29
0000000142,40.57
0000000066,28.97
0000000061,43.44
0000000139,66.15
0000000145,66.08
0000000054,29.05
0000000085,53.36
0000000028,54.39
0000000053,61.18
0000000082,36.68
0000000021,69.12
0000000105,65.25
0000000102,63.17
0000000026,41.31
0000000127,65.64
0000000003,42.36
0000000004,30.66
0000000120,42.20
0000000078,83.45
0000000076,38.00
0000000129,37.68
0000000071,69.24
0000000095,63.71
0000000044,70.15
0000000038,51.50
0000000092,37.25
0000000043,35.94
0000000031,45.81
0000000115,39.32
0000000112,28.11
0000000036,40.27
0000000103,83.03
0000000027,48.01
0000000020,40.53
0000000104,29.41
0000000052,43.53
0000000083,85.15
0000000055,59.42
0000000084,62.63
0000000029,42.47
0000000060,44.80
0000000138,42.38
0000000144,39.66
0000000143,69.70
0000000067,35.86
0000000015,45.76
0000000069,69.63
0000000131,39.31
0000000136,46.95
0000000012,39.28
