ID,pLDDT
AF-A0A0R1GYU7-F1,47.70
AF-A0A1W0VL01-F1,36.44
AF-A0A094CJ59-F1,50.27
AF-A0A538EV14-F1,35.55
AF-A0A5J4UPB1-F1,44.70
AF-A0A6I9N0C2-F1,32.86
AF-A0A1R3G920-F1,84.96
AF-A0A812JRI4-F1,44.36
AF-A0A495YUY2-F1,79.83
AF-A0A840YR84-F1,62.72
AF-A0A315VTW4-F1,50.09
AF-A0A7V8YEA1-F1,32.68
AF-A0A7C6JII8-F1,51.35
AF-A0A0F9TZ47-F1,32.22
AF-A0A829GJ55-F1,50.56
AF-A0A3B6XZK8-F1,76.67
AF-A0A3D1HBI3-F1,45.24
AF-G3Q377-F1,44.79
AF-A0A2G5K7X4-F1,48.54
AF-A0A433NM79-F1,36.56
AF-A0A5A5TLM6-F1,47.39
AF-X1QM18-F1,37.45
AF-A0A645EBM8-F1,44.96
AF-A0A3A5S478-F1,30.51
AF-A0A5N5GEE5-F1,26.86
AF-W1Y591-F1,51.51
AF-A0A7R9TP45-F1,79.75
AF-A0A1I8B2J4-F1,38.11
AF-A0A317BNN0-F1,45.39
AF-U1N4D9-F1,68.58
AF-A0A496MZR8-F1,53.59
AF-A0A174S834-F1,72.06
AF-A0A0G1WYU6-F1,49.31
AF-A0A1J3EP11-F1,39.98
AF-A0A0D6JQJ1-F1,61.03
AF-A0A838CKZ4-F1,37.73
AF-A0A2H3E5S3-F1,53.20
AF-A0A439MVD7-F1,62.91
AF-A0A061GND5-F1,40.80
AF-A0A379SNN5-F1,59.46
AF-A0A0P0W7D7-F1,33.31
AF-C5LKW3-F1,38.82
AF-X1VBY5-F1,85.48
AF-A0A6I5G1W0-F1,44.03
AF-A0A813LGG5-F1,35.64
AF-A0A435IHH7-F1,61.79
AF-K0JV86-F1,79.59
AF-V5H8Y8-F1,61.62
AF-F6Z524-F1,56.96
AF-A0A6P0J0E2-F1,52.92
AF-A0A6N7GT48-F1,35.64
AF-A0A6L5I2Z6-F1,39.87
AF-A0A256YFJ9-F1,38.53
AF-A0A4R8HZH2-F1,67.50
AF-A0A2S9IXR6-F1,41.64
AF-A0A257TGQ0-F1,54.67
AF-A0A5A9PN70-F1,37.98
AF-K6YH96-F1,73.99
AF-A0A3P1YER9-F1,31.24
AF-R1E8Y0-F1,42.80
AF-A0A6N8XWW7-F1,48.52
AF-A0A0N4XBJ0-F1,61.29
AF-A0A6M8BDN4-F1,43.86
AF-A0A2V5NMJ2-F1,41.81
AF-A0A0E9P6J2-F1,81.26
AF-A0A022QP81-F1,51.14
AF-A0A7Y4MG72-F1,53.06
AF-W9ZB35-F1,42.10
AF-A0A453C1P2-F1,63.44
AF-A0A0K9R426-F1,67.35
AF-A0A0F8WHU1-F1,47.73
AF-N0BBN3-F1,54.10
AF-A0A183EP00-F1,67.22
AF-A0A402FV61-F1,52.72
AF-A0A401K267-F1,40.69
AF-A0A7S3HJ07-F1,35.64
AF-W9V0A8-F1,33.72
AF-A0A2S8K530-F1,39.08
AF-A0A3D5FQM5-F1,43.24
AF-A0A7C1V5G6-F1,58.12
AF-A0A4U0Z3N9-F1,48.24
AF-A0A527H248-F1,46.02
AF-A0A7S2Z7V7-F1,42.50
AF-H3H3R0-F1,42.90
AF-A0A4U9TFA6-F1,76.47
AF-A0A2H0LW71-F1,41.38
AF-A0A1Q8E7D6-F1,32.24
AF-A0A418RSA4-F1,50.55
AF-R9UL48-F1,70.95
AF-A0A661DB33-F1,55.93
AF-A0A1V2Z9P5-F1,53.55
AF-A0A6A0GQA4-F1,36.19
AF-A0A699XRD6-F1,68.33
AF-A0A7Y0M0A9-F1,37.20
AF-W2YLR8-F1,54.38
AF-A0A2G2LLF9-F1,49.49
AF-A0A2S4GUJ6-F1,44.02
AF-A0A5J4P8V5-F1,71.67
AF-A0A1X6YDH4-F1,60.47
AF-A0A2V3I2G5-F1,30.72
AF-A0A4R3PVS5-F1,66.49
AF-A0A0F9LLG3-F1,46.46
AF-A0A419W7G3-F1,79.71
AF-A0A561TU30-F1,37.23
AF-A0A821QD24-F1,72.18
AF-A0A397SUP4-F1,49.86
AF-A0A848XLZ2-F1,72.86
AF-A0A6B0SDY1-F1,40.87
AF-A0A0D2MXF2-F1,38.31
AF-A0A556V1Q8-F1,32.72
AF-A0A0B7K6U5-F1,44.41
AF-F7SLZ7-F1,30.55
AF-A0A087U7Y0-F1,36.61
AF-A0A820I3P8-F1,37.75
AF-A0A1I0C157-F1,48.72
AF-A0A518HBP3-F1,68.18
AF-A0A536SVJ4-F1,48.43
AF-A0A2E3HUS5-F1,69.08
AF-A0A1M7H687-F1,76.09
AF-A0A556UED6-F1,83.10
AF-A0A3B6NXG1-F1,44.49
AF-A0A259J2H2-F1,43.11
AF-A0A7S2QKH8-F1,42.22
AF-A0A5C3M3H4-F1,52.14
AF-A0A6V8EDF8-F1,38.28
AF-A0A3D2X6J1-F1,55.10
AF-A0A2P6Q2I3-F1,44.42
AF-A0A267FWY4-F1,40.51
AF-A0A444S7M2-F1,34.23
AF-A0A1H1TKY1-F1,63.49
