ID,pLDDT
AF-A0A7H8S891-F1,30.07
AF-A0A1M5SIC2-F1,36.74
AF-A0A2P7RKN9-F1,42.53
AF-A0A4D4J1H3-F1,56.85
AF-A0A1G8J9F3-F1,46.72
AF-A0A402BT90-F1,57.32
AF-A0A1R4HBK2-F1,49.18
AF-E6Q3L3-F1,38.29
AF-A0A538RQC3-F1,39.57
AF-A0A4Y2HUL4-F1,31.30
AF-A0A7Y5MPI7-F1,37.79
AF-A0A7Y5UA25-F1,32.17
AF-A0A7K4F708-F1,53.54
AF-E2CB57-F1,36.70
AF-Q4EAS1-F1,47.19
AF-A0A2R6K291-F1,46.64
AF-S7U3B2-F1,32.62
AF-E9GRN9-F1,43.69
AF-A0A5S3YKE8-F1,46.02
AF-A0A6G1NKW2-F1,47.53
AF-A0A4Z1AWX7-F1,40.23
AF-A0A2D6KTW7-F1,33.30
AF-A0A420I7J6-F1,42.73
AF-A0A1X7V7M1-F1,37.95
AF-A0A1W5DR73-F1,32.38
AF-A0A0D2JG74-F1,29.44
AF-A0A1Y3X2Q8-F1,70.48
AF-A0A4S0IAV6-F1,32.95
AF-A0A2W7AV62-F1,34.26
AF-A0A7Y5WJ84-F1,66.40
AF-A0A0A1D1U7-F1,58.41
AF-A0A1I2X5I5-F1,51.98
AF-R9UL48-F1,45.10
AF-A0A2A7U0K4-F1,60.35
AF-F6Z524-F1,45.44
AF-A0A4Q3G3R2-F1,42.31
AF-A0A2E3HUS5-F1,34.14
AF-A0A0D2MXF2-F1,34.68
AF-A0A087U7Y0-F1,73.77
AF-A0A2G2LLF9-F1,47.27
AF-A0A5J4P8V5-F1,39.44
AF-A0A3D5FQM5-F1,36.07
AF-H3C3T1-F1,35.44
AF-A0A6N8XWW7-F1,48.54
AF-A0A5A5TLM6-F1,36.28
AF-A0A645EBM8-F1,45.28
AF-A0A094CJ59-F1,36.32
AF-A0A1W0VL01-F1,55.38
AF-A0A812JRI4-F1,48.42
AF-A0A7C6JII8-F1,41.67
