ID,pLDDT
AF-A0A5N5GEE5-F1,54.00
AF-A0A3A5S478-F1,52.53
AF-A0A645EBM8-F1,53.04
AF-W1Y591-F1,52.24
AF-A0A5A5TLM6-F1,58.92
AF-A0A433NM79-F1,52.35
AF-A0A2G5K7X4-F1,52.90
AF-U1N4D9-F1,46.20
AF-A0A3D1HBI3-F1,50.37
AF-A0A3B6XZK8-F1,54.48
AF-A0A829GJ55-F1,53.99
AF-A0A0F9TZ47-F1,59.93
AF-A0A174S834-F1,57.57
AF-A0A496MZR8-F1,49.23
AF-A0A317BNN0-F1,48.48
AF-A0A1I8B2J4-F1,53.97
AF-X1QM18-F1,56.32
AF-A0A7R9TP45-F1,57.91
AF-G3Q377-F1,57.13
AF-A0A5J4UPB1-F1,58.05
AF-A0A538EV14-F1,51.49
AF-A0A094CJ59-F1,49.17
AF-A0A1W0VL01-F1,52.38
AF-A0A0R1GYU7-F1,50.67
AF-A0A7C6JII8-F1,53.67
AF-A0A7V8YEA1-F1,52.35
AF-A0A840YR84-F1,51.30
AF-A0A315VTW4-F1,51.91
AF-A0A495YUY2-F1,51.08
AF-A0A812JRI4-F1,54.52
AF-A0A1R3G920-F1,56.42
AF-A0A6I9N0C2-F1,50.60
AF-A0A6N7GT48-F1,55.11
AF-A0A6P0J0E2-F1,51.90
AF-A0A435IHH7-F1,53.90
AF-A0A4R8HZH2-F1,56.89
AF-F6Z524-F1,57.28
AF-A0A256YFJ9-F1,62.67
AF-V5H8Y8-F1,53.52
AF-K0JV86-F1,53.15
AF-A0A6L5I2Z6-F1,58.41
AF-C5LKW3-F1,47.49
AF-A0A2H3E5S3-F1,51.64
AF-A0A838CKZ4-F1,51.37
AF-A0A0D6JQJ1-F1,56.18
AF-A0A1J3EP11-F1,50.48
AF-X1VBY5-F1,52.81
AF-A0A0G1WYU6-F1,54.67
AF-A0A813LGG5-F1,50.16
AF-A0A6I5G1W0-F1,56.90
AF-A0A0P0W7D7-F1,55.66
AF-A0A379SNN5-F1,53.81
AF-A0A061GND5-F1,51.08
AF-A0A439MVD7-F1,57.85
AF-A0A4U0Z3N9-F1,44.55
AF-H3H3R0-F1,56.35
AF-A0A7C1V5G6-F1,57.83
AF-A0A3D5FQM5-F1,55.14
AF-A0A2S8K530-F1,48.39
AF-A0A7S3HJ07-F1,51.11
AF-A0A401K267-F1,59.32
AF-A0A402FV61-F1,45.21
AF-A0A183EP00-F1,51.62
AF-A0A0F8WHU1-F1,51.93
AF-R9UL48-F1,56.58
AF-W9V0A8-F1,53.89
AF-A0A418RSA4-F1,51.66
AF-A0A2H0LW71-F1,51.71
AF-N0BBN3-F1,56.17
AF-A0A1Q8E7D6-F1,43.54
AF-A0A4U9TFA6-F1,57.63
AF-A0A7S2Z7V7-F1,55.86
AF-A0A527H248-F1,62.07
AF-A0A0N4XBJ0-F1,53.44
AF-A0A6N8XWW7-F1,52.19
AF-A0A3P1YER9-F1,60.28
AF-W9ZB35-F1,49.51
AF-A0A5A9PN70-F1,35.69
AF-A0A2S9IXR6-F1,50.79
AF-A0A257TGQ0-F1,56.97
AF-A0A0K9R426-F1,56.93
AF-K6YH96-F1,56.64
AF-A0A453C1P2-F1,50.26
AF-A0A022QP81-F1,59.59
AF-A0A7Y4MG72-F1,54.57
AF-A0A0E9P6J2-F1,51.37
AF-A0A2V5NMJ2-F1,51.99
AF-A0A6M8BDN4-F1,50.92
AF-R1E8Y0-F1,52.86
AF-A0A556V1Q8-F1,45.87
AF-A0A0D2MXF2-F1,48.69
AF-F7SLZ7-F1,60.00
AF-A0A6B0SDY1-F1,50.90
AF-A0A848XLZ2-F1,55.04
AF-A0A397SUP4-F1,51.19
AF-A0A821QD24-F1,51.88
AF-A0A561TU30-F1,52.30
AF-A0A419W7G3-F1,54.76
AF-A0A1I0C157-F1,49.21
AF-A0A820I3P8-F1,48.80
AF-A0A518HBP3-F1,57.36
AF-A0A087U7Y0-F1,43.85
AF-A0A0B7K6U5-F1,52.62
AF-A0A2G2LLF9-F1,51.76
AF-A0A7Y0M0A9-F1,46.00
AF-A0A699XRD6-F1,53.75
AF-A0A6A0GQA4-F1,42.82
AF-A0A1V2Z9P5-F1,65.72
AF-A0A661DB33-F1,52.39
AF-A0A4R3PVS5-F1,57.36
AF-A0A0F9LLG3-F1,58.07
AF-W2YLR8-F1,48.68
AF-A0A2V3I2G5-F1,54.42
AF-A0A1X6YDH4-F1,52.76
AF-A0A2S4GUJ6-F1,55.86
AF-A0A5J4P8V5-F1,55.54
AF-A0A7G9YWN2-F1,46.20
AF-A0A359MCD6-F1,53.02
AF-A0A534V5D6-F1,39.89
AF-A0A402FGV5-F1,58.91
AF-A0A540V781-F1,50.10
AF-A0A382Z0I4-F1,57.58
AF-A0A1Y3S2Q3-F1,54.15
AF-A0A4Q3G3R2-F1,57.67
AF-A0A1B6NX12-F1,48.06
AF-A0A3D2X6J1-F1,46.08
AF-A0A6V8EDF8-F1,50.23
AF-A0A5C3M3H4-F1,56.88
AF-A0A7S2QKH8-F1,46.12
AF-A0A259J2H2-F1,55.58
AF-A0A3B6NXG1-F1,53.00
AF-A0A556UED6-F1,57.56
AF-A0A1M7H687-F1,56.27
AF-A0A2E3HUS5-F1,52.08
AF-A0A536SVJ4-F1,49.43
AF-A0A7W0L155-F1,53.64
AF-A0A0R0LUI7-F1,56.93
AF-A0A1H1TKY1-F1,47.21
AF-A0A381NST7-F1,52.38
AF-A0A444S7M2-F1,54.69
AF-A0A267FWY4-F1,55.18
AF-A0A2P6Q2I3-F1,53.46
AF-A0A7L5SM42-F1,56.60
AF-A0A257Q207-F1,53.21
AF-A0A841ZB47-F1,55.59
AF-A0A7J9AF42-F1,51.33
AF-A0A7J2J7Z3-F1,55.71
AF-A0A0F8ZA58-F1,50.17
AF-A0A6H5GDX5-F1,50.82
AF-A0A367G448-F1,51.91
AF-A0A5K1C8V1-F1,53.63
AF-A0A812YM64-F1,58.83
AF-A0A442UPB2-F1,54.45
AF-A0A2K1J7F7-F1,49.78
AF-E7G4B8-F1,53.44
AF-A0A3D5AVD5-F1,48.16
AF-X0UXX5-F1,56.79
AF-A0A0A9TXR0-F1,54.78
AF-A0A7S2S274-F1,44.55
AF-A0A5N9CSR4-F1,50.33
AF-A0A534U6D8-F1,56.87
