ID,pLDDT
0000000035,62.36
0000000049,58.51
0000000098,58.21
0000000111,54.71
0000000116,45.80
0000000032,36.46
0000000040,39.29
0000000091,54.82
0000000118,64.96
0000000047,43.69
0000000096,55.40
0000000072,69.97
0000000075,32.33
0000000009,68.54
0000000123,45.63
0000000007,70.60
0000000000,74.22
0000000124,43.97
0000000149,52.94
0000000011,65.84
0000000135,68.66
0000000132,65.88
0000000016,44.13
0000000064,38.90
0000000140,61.68
0000000018,50.93
0000000147,50.93
0000000063,75.95
0000000087,79.46
0000000056,36.22
0000000109,77.03
0000000080,73.58
0000000051,58.60
0000000107,72.87
0000000023,77.63
0000000024,66.80
0000000100,54.32
0000000089,77.90
0000000058,68.59
0000000001,52.46
0000000125,72.76
0000000122,63.20
0000000006,83.15
0000000074,65.75
0000000008,44.76
0000000073,71.42
0000000046,68.04
0000000097,77.04
0000000041,58.86
0000000090,43.75
0000000119,55.11
0000000117,48.78
0000000033,56.20
0000000034,68.49
0000000048,78.61
0000000099,34.90
0000000110,67.67
0000000025,61.51
0000000101,73.86
0000000088,70.75
0000000059,71.56
0000000106,81.47
0000000022,46.69
0000000108,86.89
0000000081,67.27
0000000050,63.52
0000000086,69.13
0000000057,49.64
0000000146,44.77
0000000062,62.26
0000000065,37.14
0000000141,65.43
0000000019,77.65
0000000133,71.00
0000000017,73.63
0000000148,39.06
0000000010,52.89
0000000134,52.45
0000000105,75.03
0000000021,41.93
0000000026,70.38
0000000102,44.55
0000000028,65.23
0000000085,60.31
0000000054,28.04
0000000082,34.89
0000000053,59.34
0000000066,31.23
0000000142,63.81
0000000145,68.08
0000000139,62.08
0000000061,79.65
0000000013,51.28
0000000137,75.97
0000000130,75.43
0000000068,58.05
0000000014,49.40
0000000079,50.42
0000000121,43.64
0000000005,65.69
0000000002,71.09
0000000126,61.15
0000000070,70.67
0000000128,63.20
0000000077,62.91
0000000042,32.35
0000000093,64.86
0000000039,66.57
0000000045,70.17
0000000094,61.98
0000000037,55.47
0000000113,30.97
0000000114,77.74
0000000030,78.87
0000000131,72.80
0000000069,63.76
0000000015,39.12
0000000012,65.01
0000000136,66.12
0000000144,42.47
0000000138,42.24
0000000060,49.29
0000000067,36.75
0000000143,63.56
0000000083,71.16
0000000052,37.10
0000000029,41.51
0000000084,78.00
0000000055,68.59
0000000027,33.01
0000000103,80.14
0000000104,60.89
0000000020,36.62
0000000115,79.40
0000000031,72.97
0000000036,57.37
0000000112,33.43
0000000038,51.19
0000000044,55.43
0000000095,72.54
0000000043,32.34
0000000092,65.55
0000000076,34.55
0000000071,73.90
0000000129,43.02
0000000003,34.84
0000000127,74.34
0000000078,62.12
0000000120,72.36
0000000004,48.16
