ID,pLDDT
AF-A0A350KIM4-F1,64.14
AF-A0A403MNV3-F1,78.16
AF-F1KY61-F1,80.43
AF-A0A4P6JME8-F1,72.78
AF-A0A7V3CXC1-F1,59.53
AF-A0A7S3RYS8-F1,56.52
AF-A0A224VKH4-F1,77.16
AF-A0A1H0ZI80-F1,76.35
AF-A0A819LUJ0-F1,72.54
AF-A0A7S3WZJ2-F1,54.96
AF-A0A1F5X212-F1,64.99
AF-A0A0S7ZH79-F1,77.31
AF-A0A0L7L3L9-F1,64.95
AF-W4JQT6-F1,76.93
AF-A0A5E7KWP8-F1,54.09
AF-A0A379WGV2-F1,82.29
AF-A0A1M7YKG8-F1,57.72
AF-T1BQ88-F1,69.52
AF-A0A4D4J1H3-F1,50.72
AF-A0A3D1QTD5-F1,64.08
AF-A0A830GWR5-F1,79.60
AF-A0A7J9NL31-F1,65.75
AF-A0A1G8J9F3-F1,59.27
AF-A0A7R6R8K0-F1,87.43
AF-A0A836X0S8-F1,68.84
AF-A0A519S4D4-F1,72.23
AF-A0A7L4QPV6-F1,79.49
AF-A0A1M5SIC2-F1,51.42
AF-V2YIC2-F1,80.90
AF-A0A6V8PWA8-F1,84.04
AF-A0A1A0HG11-F1,56.38
AF-A0A7L5BGV9-F1,83.82
AF-A0A1M2YG70-F1,64.66
AF-A0A2U1M9V4-F1,74.18
AF-A0A090KY53-F1,66.68
AF-A0A4Y8QDC1-F1,63.64
AF-A0A7Y0L4T0-F1,63.56
AF-A0A7T8HJW6-F1,85.04
AF-A0A833G3A0-F1,91.87
AF-A0A7Y5MPI7-F1,60.46
AF-A0A7V4LF75-F1,72.89
AF-A0A4Y2PXS8-F1,57.79
AF-A0A2T1G7L4-F1,87.71
AF-A0A2X2RVK2-F1,70.90
AF-A0A4Y2HUL4-F1,78.14
AF-A0A367ZQF3-F1,59.27
AF-E6Q3L3-F1,72.43
AF-A0A538RQC3-F1,75.04
AF-A0A243QKD0-F1,66.14
AF-A0A0S8F2M4-F1,58.58
AF-W6NA44-F1,91.61
AF-A0A659YW17-F1,64.26
AF-A0A4U0XYH5-F1,83.80
AF-A0A1R4HBK2-F1,49.91
AF-A0A6V7UWU6-F1,67.29
AF-A0A381WRP1-F1,59.06
AF-A0A1I5X559-F1,82.80
AF-A0A336N412-F1,73.57
AF-A0A6I1Z303-F1,80.09
AF-A0A484ZDC6-F1,79.36
AF-A0A0G1MNP0-F1,79.98
AF-A0A816P1S3-F1,59.14
AF-A0A3R7A8B6-F1,74.78
AF-A0A7Z9VMC3-F1,61.66
AF-A0A7S1C8G2-F1,78.61
AF-L0B031-F1,73.71
AF-A0A838YMJ9-F1,68.36
AF-A0A7V9K3I4-F1,69.03
AF-A0A1S8M8R4-F1,58.27
AF-A0A0A9WZV4-F1,77.74
AF-A0A7V0S201-F1,77.79
AF-A0A2N9FUQ6-F1,72.31
AF-A0A7C6BAG8-F1,61.09
AF-A0A812PRT4-F1,55.72
AF-A0A4R4DV40-F1,56.33
AF-A0A498T2L0-F1,66.54
AF-A0A080YWB0-F1,83.88
AF-A0A7Y5UA25-F1,85.70
AF-A2DAL6-F1,68.26
AF-A0A3D5ABU5-F1,79.33
AF-A0A2U2SFU3-F1,63.86
AF-A0A1Y2FSV1-F1,71.70
AF-A0A7C3JUD8-F1,69.07
AF-A0A0E2IWU3-F1,66.71
AF-A0A485K6L2-F1,82.61
AF-D5DE99-F1,64.43
AF-A0A381NYU8-F1,61.79
AF-A0A0F9S7T3-F1,65.25
AF-C1N001-F1,76.80
AF-A0A7J6S601-F1,55.44
AF-A0A7L8V679-F1,58.70
AF-A0A2P5DTT9-F1,78.50
AF-A0A2N9LLC3-F1,61.19
AF-F0X8N1-F1,61.78
AF-B6Z5U9-F1,64.36
AF-A0A484P313-F1,64.94
AF-A0A2P2IC52-F1,67.73
AF-A0A067BRB5-F1,54.09
AF-A0A2M7ERR9-F1,59.85
AF-A0A816B5M9-F1,83.19
AF-A0A1X7V7M1-F1,70.35
AF-A0A420I7J6-F1,84.95
AF-A0A2W0B877-F1,86.99
AF-A0A7Y3JFE2-F1,62.56
AF-E3MV22-F1,74.17
AF-A0A4Z1AWX7-F1,66.65
AF-A0A7J4BUY1-F1,72.83
AF-A0A1F6B0D1-F1,58.82
AF-A0A564Y7B2-F1,73.69
AF-A0A5S3YKE8-F1,83.27
AF-A0A2V6YT65-F1,54.72
AF-A0A2G1Z3T0-F1,65.71
AF-A0A314YP61-F1,78.94
AF-A0A0C2MRA0-F1,77.60
AF-A0A660TV00-F1,70.66
AF-A0A2V5K666-F1,57.03
AF-A0A0N5CBN8-F1,85.10
AF-A0A7X7T6G6-F1,68.44
AF-A0A1G0ZD41-F1,77.27
AF-A0A7J6QZG2-F1,64.19
AF-A0A2B8J9V3-F1,57.14
AF-A0A7V4Q644-F1,73.45
AF-A0A519PI06-F1,82.69
AF-A0A6I3TSF5-F1,65.63
AF-A0A413GXF1-F1,83.11
AF-A0A099ZG18-F1,64.03
AF-W9V0A8-F1,68.60
AF-A0A0P0V5Y0-F1,68.59
AF-A0A1J5QPG2-F1,67.39
AF-A0A7W8W567-F1,82.58
AF-A0A6S7HLZ3-F1,79.60
AF-A0A840ELA8-F1,67.26
AF-A0A6P8JNU8-F1,88.11
AF-H3H3R0-F1,71.20
