ID,pLDDT
AF-A0A4U0Z3N9-F1,49.40
AF-A0A7C1V5G6-F1,70.05
AF-A0A3D5FQM5-F1,49.55
AF-A0A2S8K530-F1,38.35
AF-B6Z5U9-F1,54.79
AF-A0A402FV61-F1,42.50
AF-F0X8N1-F1,65.89
AF-A0A401K267-F1,40.51
AF-A0A7S3HJ07-F1,41.12
AF-A0A0F8WHU1-F1,42.67
AF-A0A183EP00-F1,70.71
AF-A0A418RSA4-F1,67.44
AF-A0A2H0LW71-F1,49.65
AF-R7V6F4-F1,46.90
AF-A0A1Q8E7D6-F1,29.30
AF-A0A7S2Z7V7-F1,50.54
AF-A0A4U9TFA6-F1,73.12
AF-A0A527H248-F1,37.69
AF-E3N9Q1-F1,61.31
AF-A0A0N4XBJ0-F1,72.87
AF-A0A6N8XWW7-F1,47.80
AF-C1N001-F1,79.41
AF-A0A3P1YER9-F1,27.33
AF-A0A2S9IXR6-F1,41.64
AF-A0A257TGQ0-F1,52.11
AF-A0A5A9PN70-F1,49.75
AF-A0A453C1P2-F1,75.77
AF-A0A0K9R426-F1,74.43
AF-A0A022QP81-F1,69.48
AF-A0A7Y4MG72-F1,49.90
AF-A0A0E9P6J2-F1,83.17
AF-A0A2V5NMJ2-F1,50.30
AF-A0A6M8BDN4-F1,42.26
AF-A0A0D2MXF2-F1,45.02
AF-A0A556V1Q8-F1,32.94
AF-A0A6B0SDY1-F1,47.32
AF-A0A848XLZ2-F1,55.03
AF-A0A561TU30-F1,41.27
AF-A0A821QD24-F1,76.71
AF-A0A397SUP4-F1,52.65
AF-A0A419W7G3-F1,63.43
AF-A0A1I0C157-F1,57.52
AF-A0A820I3P8-F1,45.88
AF-A0A518HBP3-F1,51.55
AF-A0A087U7Y0-F1,42.21
AF-A0A0B7K6U5-F1,38.58
AF-H1LZV8-F1,51.22
AF-A0A2G2LLF9-F1,53.98
AF-A0A7Y0M0A9-F1,44.95
AF-A0A699XRD6-F1,82.95
AF-A0A6A0GQA4-F1,35.40
AF-A0A1V2Z9P5-F1,45.69
AF-A0A661DB33-F1,46.48
AF-A0A4R3PVS5-F1,77.42
AF-A0A0F9LLG3-F1,45.25
AF-A0A2V3I2G5-F1,42.70
AF-E3MV22-F1,80.49
AF-A0A1X6YDH4-F1,55.34
AF-A0A2S4GUJ6-F1,47.58
AF-A0A5J4P8V5-F1,83.67
AF-A0A3A5S478-F1,37.59
AF-A0A5N5GEE5-F1,34.39
AF-L0B031-F1,42.30
AF-Q4EAS1-F1,66.53
AF-A0A645EBM8-F1,43.51
AF-A0A5A5TLM6-F1,36.58
AF-A0A2G5K7X4-F1,49.30
AF-A0A433NM79-F1,38.80
AF-A0A3B6XZK8-F1,74.73
AF-A0A3D1HBI3-F1,47.98
AF-A0A829GJ55-F1,43.18
AF-A0A0F9TZ47-F1,35.08
AF-A0A496MZR8-F1,59.77
AF-A0A174S834-F1,65.93
AF-A0A317BNN0-F1,43.24
AF-A0A1I8B2J4-F1,46.38
AF-A0A7R9TP45-F1,73.97
AF-S7U3B2-F1,71.62
AF-A0A5J4UPB1-F1,58.53
AF-E9GRN9-F1,46.40
AF-A0A538EV14-F1,40.50
AF-A0A094CJ59-F1,47.47
AF-A0A0R1GYU7-F1,48.02
AF-A0A1W0VL01-F1,32.79
AF-A0A7V8YEA1-F1,31.09
AF-A0A7C6JII8-F1,66.76
AF-A0A495YUY2-F1,81.81
AF-A0A812JRI4-F1,59.45
AF-A0A840YR84-F1,66.71
AF-A0A315VTW4-F1,71.81
AF-A0A1R3G920-F1,76.37
AF-A0A6I9N0C2-F1,43.37
AF-A0A6N7GT48-F1,33.25
AF-C8X9L9-F1,66.88
AF-A0A6P0J0E2-F1,45.03
AF-A0A435IHH7-F1,63.01
AF-A0A4R8HZH2-F1,72.13
AF-D5DE99-F1,44.05
AF-A0A256YFJ9-F1,39.93
AF-A0A6L5I2Z6-F1,36.11
AF-X6ELY5-F1,66.89
AF-A0A2H3E5S3-F1,44.92
AF-A0A838CKZ4-F1,28.25
AF-M1WB86-F1,86.24
AF-A0A0D6JQJ1-F1,61.68
